 TITLE,LastName,FirstName, SEX,Rtg_Nat
,ABELLO, John Jacobo,,1747
,ABELLO, Joshua Y.,,2015
,ABELLO, Rainiel Franciso,,1745
,ABELLO, Santhiago,,1440
,ABELLO, Sheena Gay Margritte,F,1460
,ABELLO, Stelaikah,,1648
,ABELLO, Zenny Rose,F,1534
,ABELLON, Cj Nickole,,1638
,ABELLON, Crizzie,F,1595
,ABELLON, Ramon,,1814
,ABELONG, Greece Joy,F,1651
,ABENALES, Alexa,F,1760
,ABENDAN, Enrique,,1729
,ABENDAN, Erick Gabriel,,1845
,ABENDAN, Glen,,
,ABENDAN, Rabi,,1828
,ABENER, Revanz,,1709
,ABENIR, Michaela Johanna,F,1654
,ABENIR, Rell Kirby,,1669
,ABENIR, Russel Earl,,1669
,ABENOJA, Axl,,1552
,ABENOJA, Harold James B.,,1796
,ABENOJA, Jastin,,1807
,ABENOJA, Jomerson,,
,ABENOJA, Mitch Zaijan,,
,ABENOJA, Zachariah Vincent,,1704
,ABERA, Fulton,,
,ABERCA, Hercules Glenn,,
,ABERDE, John Jr.,,1515
,ABERGAS, Jhon Lloyd,,1868
,ABERGAS, Romeo,,
,ABERIA, Hermilando,,1846
,ABERIA, Ingming,,1876
,ABERION, Cecilio,,1825
,ABERNE, John Jr.,,1639
,ABERO, Francis Cael,,
,ABERO, Francis Caine,,
,ABERTE, Daniel,,1803
,ABERTE, Jessie Dave,,1788
,ABES, Chale Adrian,,1458
,ABES, Chris Andrei,,1579
,ABES, Clarensze Erikk,,
,ABES, Coleene,F,1579
,ABES, Elaizer Cyian,,1478
,ABESAMIS, Ea Jezler,,1885
,ABESAMIS, Erich,F,1411
,ABESAMIS, Gedylaine Aera,F,1405
,ABESAMIS, Jaden Cedric B.,,1811
,ABESAMIS, Jan Calvin,,1890
,ABESAMIS, Jasper Kit,,1854
,ABESAMIS, John Caleb,,
,ABESAMIS, Jose Andrei,,1946
,ABESAMIS, Jose Iv,,1740
,ABESAMIS, Kate Angel,F,1550
,ABESAMIS, Rodny Frinz,,
,ABESTADO, Timothy Jim,,1864
,ABESTADO, Timothy Matthew,,1750
,ABESTANO, Jocelyn,F,1650
,ABETO, Salvador Adonis Vi Layague,,1732
,ABETO, Salvador Carlo Vii,,1829
,ABIAD, Arden,,1928
,ABIAD, Franco Joaquin,,1721
,ABIAD, John Khien Asher,,1628
,ABIAD, Leoncio,,1912
,ABIAD, Leonico Arden,,
,ABIAD, Niko,,1890
,ABIADO, John Paul,,1887
,ABIAN, Bryll,,1733
,ABIAN, Elmer H. II,,1704
,ABIAN, John Angelo,,
,ABIAN, Raymart,,1789
,ABIAN, Roderick,,1972
,ABIAN, Sherwin Jay,,1730
,ABIAR, Shaloom,,1668
,ABIBAS, Ernesto,,2053
,ABID, Abdullah,,1847
,ABIDAY, Prince Roy H.,,1658
,ABIDAY, Savannah,,1516
,ABIDEN, Tongco,,1860
,ABIERA, Dwayne Justine,,1782
,ABIERA, Francisco Jr.,,1863
,ABIERA, Hayden,,1773
,ABIERA, Oscar,,2015
,ABIERA, Paula,F,1962
,ABIERA, Paula Jane,F,1774
,ABIERA, Redmond,,1793
,ABIERO, Xhean Pasqual,,1768
,ABIERTAS, Rhalf,,1734
,ABIG, Anthony,,
,ABIG, Curvbie Lance,,1520
,ABIG, Edgar Jr.,,1672
,ABIL, Datu Al-Sufri,,1692
,ABILA, Angellyka Mariz,F,1403
,ABILLA, Marvin,,1888
,ABILLE, Daphne,,1607
,ABILLON, Ronel,,1906
AFM,ABIN, Marc Adrian,,1695
